Item Name,Qty,Price(USD),Link
Acceleromter,1,11.25,https://www.amazon.com/Pre-Soldered-Accelerometer-Raspberry-Compatible-Arduino/dp/B0BMY15TC4/ref=sxin_19_pa_sp_search_thematic_sspa?content-id=amzn1.sym.8eb671a2-a903-4c3a-b962-ebb867a4f8f8%3Aamzn1.sym.8eb671a2-a903-4c3a-b962-ebb867a4f8f8&crid=2R3XOHJH1EDMB&cv_ct_cx=accelerometer&keywords=accelerometer&pd_rd_i=B0BMY15TC4&pd_rd_r=eb65cf71-47e7-43d2-bf5a-2676d555cd68&pd_rd_w=zQYvp&pd_rd_wg=aVe0E&pf_rd_p=8eb671a2-a903-4c3a-b962-ebb867a4f8f8&pf_rd_r=EBT8DD42C91JM03HNCAW&qid=1787615216&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=accel%2Caps%2C528&sr=1-2-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&aref=EkIWBWZMN8&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
ESP32,1,15.19,https://www.amazon.com/HiLetgo-ESP32-DevKitC-ESP32-WROOM-32U-ESP-WROOM-32U-Development/dp/B09KLS2YB3/ref=sr_1_2_sspa?crid=1JFCA35NIPULD&dib=eyJ2IjoiMSJ9.djkRSRUQVCyqPtghzRF2DTqPmDTH7dpQ8ArtG4H5lQ8nZNo1R2HBigzQ_LB9t_BPYjV6L30sWuRIIz3XxY6GRc7SguGIaZIkkG6sLIlVIqarIjlsFw9h31AqBtsYa9-V0xOVz1oAXm9ZouChShROBRCIkvj-JiGil-w3I8s8Vo8r4MBwfoew1Hif7mkCAhZJa8EoMD2i1BqOBn3r5UtZfpSV7ZhMFikpAETrV1ykHeOzNts6KRDcHEpGUMJsJad4Cfqaal-XTZIAjmUYOUCv0AAZuQN_dsjqa3DZmyB9x8I.xyJlLeOwCi5G_ncxFnMVnQQ9oUFzUg9w26MAMuiAWlM&dib_tag=se&keywords=esp32&qid=1787615294&s=industrial&sprefix=ESP32%2Cindustrial%2C292&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Dupoint Jumper Wires,1,6.98,https://www.amazon.com/EDGELEC-Breadboard-Optional-Assorted-Multicolored/dp/B07GD2BWPY/ref=sr_1_1_sspa?crid=2I1Y66GM8DYZK&dib=eyJ2IjoiMSJ9.tjHxIQLJsk16_0YVtUGN6b3pM1t_83I8NWCCan5QgtAt-L6l9Nc9VZa-5iqZI16LYPNgS9y4lACgSii-ikd4I1Z-YXWaEJnOPT5ZXihc6spiNt9b7kBp6cKoyHvcA0USa_wk1sUh3UUPG9PioOvtphJ02Uath4hoysGEaBpqZg04zzlpePkXGkLKXwQLeGxOmQO8tuSaZaPGbuzmTrwn9auHVQuNuSaKKba6iYDsz4CaSdUNgvT77sU6aXWsXW3RSK7zJkxE6YcZS0V724HVguZcG1B8dd4SqC-FwijPjq0.KYGoDChcdEmiZwDb-4s0MqCrMT4BOIUrxFMoJNvRWWU&dib_tag=se&keywords=JUMPER%2BWIRES&qid=1787615423&s=industrial&sprefix=jumper%2Bwire%2Cindustrial%2C264&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Breadboard Jumper Wires,1,9.49,https://www.amazon.com/Breadboard-Solderless-Connecting-Pre-Stripped-Pre-Formed/dp/B0FKM4XTTJ/ref=sr_1_6_sspa?crid=2I1Y66GM8DYZK&dib=eyJ2IjoiMSJ9.tjHxIQLJsk16_0YVtUGN6b3pM1t_83I8NWCCan5QgtAt-L6l9Nc9VZa-5iqZI16LYPNgS9y4lACgSii-ikd4I1Z-YXWaEJnOPT5ZXihc6spiNt9b7kBp6cKoyHvcA0USa_wk1sUh3UUPG9PioOvtphJ02Uath4hoysGEaBpqZg04zzlpePkXGkLKXwQLeGxOmQO8tuSaZaPGbuzmTrwn9auHVQuNuSaKKba6iYDsz4CaSdUNgvT77sU6aXWsXW3RSK7zJkxE6YcZS0V724HVguZcG1B8dd4SqC-FwijPjq0.KYGoDChcdEmiZwDb-4s0MqCrMT4BOIUrxFMoJNvRWWU&dib_tag=se&keywords=JUMPER+WIRES&qid=1787615423&s=industrial&sprefix=jumper+wire%2Cindustrial%2C264&sr=1-6-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
BLDC and ESC,1,22.99,https://www.amazon.com/abcGoodefg-Brushless-Propeller-Accessories-Quadcopter/dp/B08DXYLFQQ/ref=sr_1_3?crid=5JSAPDHA2WK1&dib=eyJ2IjoiMSJ9.sa0U8vnB2jAG9Qe4aRDAgO6CA9_7jGittyy4hxBYpKUi5mGGwro5_9JIuay05XeVjaOUAbWA3qZCYS0_1Xdl8g2AdnFHbsLfY9ilccS2_DMKlfXgPFbDpS-qnXEGZQ2ZyzKkYiEjYrmZj1U1vdIu7cF8EpIDZ8bqgkWvAtC0vS404oGabm2fspMbuyn8T2X067LtVjtvjrJV3kzu5N25MNZtZaNs16rwgM2M4CUZ9UodJDIGPUpuTkeKKWLPINzoIrPSXSrDqe4SM_GgOGs0qlZkxK-weCQUU6VwqotO1AY.CpPgkm27BacIz08l1nK9zsXDU-NM6Pm3ou9D_g6TKOc&dib_tag=se&keywords=esc+and+bldc+with+battery&qid=1787615621&s=industrial&sprefix=%2Cindustrial%2C222&sr=1-3
Lipro battery adapters.,1,6.88,https://www.amazon.com/Deans-Connector-Adapter-brushless-Pairs/dp/B08889QL6Q/ref=sr_1_4?dib=eyJ2IjoiMSJ9._ObBpJlzmHbf5NFWi42lWY30_FqzcrNcMWrxNyofwRTaXZ_G8fdJH73fXHu_mmEz9Swanx-zyVXM-Zr8R9Z0viel4sollTO_HZLmtljQYoCPgrUpruco7hKrFiyp8qWFAyM2_AtzjfJVERym4T6PFbay7kMYf2dPrHVzcH2yqy4trzun56NDPD_t5Q4QZCuk80BJXI6QS_jaMvUgc6JW4e2FRhQ-V8AChcybqPrn5Lc.WHiqE9ffuLfUvMnwg-bmmAuP9sn1WoTqmusLHbOiRGk&dib_tag=se&keywords=lipo+battery+converters&qid=1787615800&sr=8-4
Linear Potentiometer ,1,10.88,https://www.amazon.com/Potentiometer-Switch-Llinear-Arduino-Electronic/dp/B0F7Y5BH17/ref=sr_1_3?crid=BBW1J55H6GH9&dib=eyJ2IjoiMSJ9.KYpIJQRygkPUicNqZLC7GU3O4LsPleVjYw4zeFeYCbcIhSfDbbJzTvYF9If9P5gCNyxcupssfg7vUdnwHvfd3mKafuawLCEA9SKRhUHektVxoZtl10liXo0aNGdtj_Hf_T4l9RYNri1AZPuuisgIIXXTh-ZPp-BZVmlMB9DXLtV2ylFWFIrQ12zolFe6f3Yz2e-r-ynn80eW8a5wvbuS3S0o7x1FXkeS-gU20unJ2s0.JsCWXBABCywS8Z6nDBbQSotGRKq3iyXNf2Y0ApDvx7g&dib_tag=se&keywords=linear+potentiometer&qid=1787615850&sprefix=linear+pote%2Caps%2C241&sr=8-3
Joysticks,1,8.79,https://www.amazon.com/KEAcvise-2-Pack-Joystick-Sensor-Module/dp/B0F9417WL4/ref=sr_1_2_sspa?crid=WS7GO065TN3D&dib=eyJ2IjoiMSJ9.azZ62n4Tl8ZwkrheJyqyCndrP1SV71A4xyAr-iuhJYzH2NI0W-iptY9XvlB4nt-kut7jeHHGk1F63A1t6njqhIuDwO9TmhncPdf28m8DK26eNct2pOayuGqm3RY_YGI2Kn7UybpUf9G7vVwfPwqT4mHDCuHK0QYIwtnUt6TSUNrCjubKie9sGb3fZ8C6PyMci82OP_-HmA47v_syXPmceDIxgh4psGnWYFfj_Y9U3UQ.e9Qmgm8hVLTbfeFh6a0p8m9CY8JDqUQHTVvP1DPq8-s&dib_tag=se&keywords=Joysticks&qid=1787615947&sprefix=joy%2Caps%2C973&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Breadboard,1,7.19,https://www.amazon.com/Breadborad-Solderless-Breadboards-Distribution-Connecting/dp/B082VYXDF1/ref=sr_1_2_sspa?crid=C94C0H2RP1I7&dib=eyJ2IjoiMSJ9.KciiFgkRrEIcipCiSmynt7Crly9TE4zJeJX-FA7JYDFY0DbHJjeKQav8nPWq7UjfY3ufrLrKromFkoxTcvCFJPfheeHwKRuPX59VM48pJ1LfJVKfhNWHl4pelJYDO3XO6VdTpXw6jSftzONMLv45vJ0BgS8whgxEBlccKy5HebqvPL9Y77Wsf1dQuINm6XR_3ub5XYvTfiBUfmUKF_Rf5x0eZOEYp5aBZ1f0mjCMwHk.Uh4rX06wWsD6CqZv8psQvqkqkWFXXIJ-PuT19H82UEM&dib_tag=se&keywords=breadboard&qid=1787616081&sprefix=breadboa%2Caps%2C313&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Total (USD),N/A,99.64,
